text,label
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all .",1
new best friend's playboy-mansion presentation of college life is laugh-out-loud ludicrous .,0
"a recent favourite at sundance , this white-trash satire will inspire the affection of even those unlucky people who never owned a cassette of def leppard's pyromania .",1
well-meant but unoriginal .,0
a diverse and astonishingly articulate cast of palestinian and israeli children .,1
a keep-'em-guessing plot and an affectionate take on its screwed-up characters .,1
there is truth here,1
"it's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",1
"the period -- swinging london in the time of the mods and the rockers -- gets the once-over once again in gangster no . 1 , but falls apart long before the end .",0
disturbingly superficial in its approach to the material .,0
gere gives a good performance in a film that doesn't merit it .,0
a movie so bad that it quickly enters the pantheon of wreckage that includes battlefield earth and showgirls .,0
"one of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .",1
"an interesting psychological game of cat-and-mouse , three-dimensional characters and believable performances all add up to a satisfying crime drama .",1
"all in all , an interesting look at the life of the campaign-trail press , especially ones that don't really care for the candidate they're forced to follow .",1
"madonna has made herself over so often now , there's apparently nothing left to work with , sort of like michael jackson's nose .",0
. . . there are enough moments of heartbreaking honesty to keep one glued to the screen .,1
. . . hudlin is stuck trying to light a fire with soggy leaves .,0
"y tu mamá también es un buen filme gracias a lo poco convencional de su narrativa , y es quizá el proyecto más arriesgado en la carrera de alfonso cuarón",1
it's splash without the jokes .,0
"if the film fails to fulfill its own ambitious goals , it nonetheless sustains interest during the long build-up of expository material .",1
the film jolts the laughs from the audience--as if by cattle prod .,1
"if swimfan does catch on , it may be because teens are looking for something to make them laugh .",0
nothing more than a run-of-the-mill action flick .,0
"a slick , engrossing melodrama .",1
it isn't that stealing harvard is a horrible movieif only it were that grand a failure ! it's just that it's so not-at-all-good . and i expect much more from a talent as outstanding as director bruce mcculloch .,0
damon brings the proper conviction to his role as [jason bourne] .,1
"it's rare to see a movie that takes such a speedy swan dive from "" promising "" to "" interesting "" to "" familiar "" before landing squarely on "" stupid "" .",0
moves in such odd plot directions and descends into such message-mongering moralism that its good qualities are obscured .,0
a generic international version of a typical american horror film .,0
it's a barely tolerable slog over well-trod ground .,0
probes in a light-hearted way the romantic problems of individuals for whom the yearning for passion spells discontent .,1
"responsável direto pelo fracasso 'artístico' de doce lar , o roteirista c . jay cox não consegue sequer aproveitar os pouquíssimos momentos em que escapa da mediocridade .",0
"nonsensical , dull "" cyber-horror "" flick is a grim , hollow exercise in flat scares and bad acting .",0
completely creatively stillborn and executed in a manner that i'm not sure could be a single iota worse . . . a soulless hunk of exploitative garbage .,0
this movie is about the worst thing chan has done in the united states .,0
the film's maudlin focus on the young woman's infirmity and her naive dreams play like the worst kind of hollywood heart-string plucking .,0
"stephen rea , aidan quinn , and alan bates play desmond's legal eagles , and when joined by brosnan , the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing , 'tis .",1
"ramsay , as in ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",1
one of the most gloriously unsubtle and adrenalized extreme shockers since the evil dead .,1
""" the road paved with good intentions leads to the video store """,0
"this is mild-mannered , been-there material given a pedestrian spin by a director who needed a touch of the flamboyant , the outrageous .",0
"as a vehicle to savour binoche's skill , the film is well worthwhile .",1
a movie that feels like the pilot episode of a new teen-targeted action tv series .,0
"compelling revenge thriller , though somewhat weakened by a miscast leading lady .",1
"a quaint , romanticized rendering .",0
"hashiguchi vividly captures the way young japanese live now , chafing against their culture's manic mix of millennial brusqueness and undying , traditional politesse .",1
"i'll put it this way : if you're in the mood for a melodrama narrated by talking fish , this is the movie for you .",1
the problem with antwone fisher is that it has a screenplay written by antwone fisher based on the book by antwone fisher .,0
"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '",0
"beating the austin powers films at their own game , this blaxploitation spoof downplays the raunch in favor of gags that rely on the strength of their own cleverness as opposed to the extent of their outrageousness .",1
ethan hawke has always fancied himself the bastard child of the beatnik generation and it's all over his chelsea walls .,0
"[janey] forgets about her other obligations , leading to a tragedy which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies .",0
not really bad so much as distasteful : we need kidnapping suspense dramas right now like we need doomsday thrillers .,0
"the country bears has no scenes that will upset or frighten young viewers . unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .",0
"lan yu is at times too restrained , yet there are moments it captures the erotics of intimacy in a way that makes most american love stories look downright unfree .",1
"in trying to be daring and original , it comes off as only occasionally satirical and never fresh .",0
almost gags on its own gore .,0
even the digressions are funny .,1
a film of precious increments artfully camouflaged as everyday activities .,1
"both grant and hoult carry the movie because they are believable as people -- flawed , assured of the wrong things , and scared to admit how much they may really need the company of others .",1
"a dark , quirky road movie that constantly defies expectation .",1
"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then esther's story is a compelling quest for truth .",1
rarely have i seen a film so willing to champion the fallibility of the human heart .,1
a solid and refined piece of moviemaking imbued with passion and attitude .,1
"even by dumb action-movie standards , ballistic : ecks vs . sever is a dumb action movie .",0
a heroic tale of persistence that is sure to win viewers' hearts .,1
i got a headache watching this meaningless downer .,0
"while van wilder may not be the worst national lampoon film , it's far from being this generation's animal house .",0
a great idea becomes a not-great movie .,0
"hu and liu offer natural , matter-of-fact performances that glint with sorrow , longing and love .",1
the superior plotline isn't quite enough to drag along the dead ( water ) weight of the other .,0
"it is risky , intelligent , romantic and rapturous from start to finish .",1
the comedy death to smoochy is a rancorous curiosity : a movie without an apparent audience .,0
"it excels because , unlike so many other hollywood movies of its ilk , it offers hope .",1
"this film is full of rabbits . brimful . but like most rabbits , it seems to lack substance .",0
"the film delivers not just the full assault of reno's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",1
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",0
brave and sweetly rendered love story .,1
"a sweet-natured reconsideration of one of san francisco's most vital , if least widely recognized , creative fountainheads .",1
"a reasonably efficient mechanism , but it offers few surprises and finds its stars slumming in territory they should have avoided .",0
it's the kind of pigeonhole-resisting romp that hollywood too rarely provides .,1
an incredibly irritating comedy about thoroughly vacuous people . . . manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,0
a smug and convoluted action-comedy that doesn't allow an earnest moment to pass without reminding audiences that it's only a movie .,0
"there's no denying the elaborateness of the artist's conceptions , nor his ability to depict them with outrageous elan , but really the whole series is so much pretentious nonsense , lavishly praised by those who equate obscurity with profundity .",0
"patchy combination of soap opera , low-tech magic realism and , at times , ploddingly sociological commentary .",0
"what is 100% missing here is a script of even the most elemental literacy , an inkling of genuine wit , and anything resembling acting .",0
i hate the feeling of having been slimed in the name of high art .,0
it's supposed to be a romantic comedy - it suffers from too much norma rae and not enough pretty woman .,0
allen shows he can outgag any of those young whippersnappers making moving pictures today .,1
"unless you're a fanatic , the best advice is : 'scooby' don't .",0
japan's premier stylist of sex and blood hits audiences with what may be his most demented film to date .,1
"the whole mildly pleasant outing -- the r rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of tim allen .",1
"filmmakers dana janklowicz-mann and amir mann area headed east , far east , in retelling a historically significant , and personal , episode detailing how one international city welcomed tens of thousands of german jewish refugees while the world's democracie",1
spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry .,1
lawrence plumbs personal tragedy and also the human comedy .,1
"like being trapped inside a huge video game , where exciting , inane images keep popping past your head and the same illogical things keep happening over and over again .",0
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol's most intense psychological mysteries .,1
"all the actors are good in pauline & paulette but van der groen , described as 'belgium's national treasure , ' is especially terrific as pauline .",1
"although frailty fits into a classic genre , in its script and execution it is a remarkably original work .",1
"it's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety .",1
an unintentional parody of every teen movie made in the last five years .,0
everything that's worthwhile about collision course can already be seen on television .,0
a sensitive and expertly acted crowd-pleaser that isn't above a little broad comedy and a few unabashedly sentimental tears .,1
"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .",0
"the sentimental script has problems , but the actors pick up the slack .",1
rates an 'e' for effort -- and a 'b' for boring .,0
"human nature is a goofball movie , in the way that malkovich was , but it tries too hard .",0
"enormously likable , partly because it is aware of its own grasp of the absurd .",1
the acting alone is worth the price of admission .,1
"the film is filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders , but deftly manages to avoid many of the condescending stereotypes that so often plague films dealing with the mentally ill .",1
"the performances are so leaden , michael rymer's direction is so bloodless and the dialogue is so corny that the audience laughs out loud .",0
uneven performances and a spotty script add up to a biting satire that has no teeth .,0
pumpkin wants to have it both ways .,0
"why make a documentary about these marginal historical figures ? wouldn't one about their famous dad , author of death in venice , etc . , be more valuable ?",0
chalk it up as the worst kind of hubristic folly .,0
. . . manages to fall closer in quality to silence than to the abysmal hannibal .,1
"a first-class , thoroughly involving b movie that effectively combines two surefire , beloved genres -- the prison flick and the fight film .",1
salma goes native and she's never been better in this colorful bio-pic of a mexican icon .,1
"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms . . . is a nonstop hoot .",1
"renner ? s face is chillingly unemotive , yet he communicates a great deal in his performance . see it for his performance if nothing else .",1
". . . just a big mess of a movie , full of images and events , but no tension or surprise .",0
"a quiet , disquieting triumph .",1
"has a certain ghoulish fascination , and generates a fair amount of b-movie excitement .",1
"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .",0
"at times , however , dogtown and z-boys lapses into an insider's lingo and mindset that the uninitiated may find hard to follow , or care about .",0
a poky and pseudo-serious exercise in sham actor workshops and an affected malaise .,0
"good for a few unintentional laughs , "" extreme ops "" was obviously made for the "" xxx "" crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",0
bella is the picture of health with boundless energy until a few days before she dies . this is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer .,0
the film is a verbal duel between two gifted performers .,1
"scooby-doo doesn't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , nickelodeon-esque kiddie flick .",0
frida's artistic brilliance is undeniable -- it's among the most breathtakingly designed films i've ever seen .,1
the only thing that distinguishes a randall wallace film from any other is the fact that there is nothing distinguishing in a randall wallace film .,0
"from the opening strains of the average white band's "" pick up the pieces "" , you can feel the love .",1
superb production values & christian bale's charisma make up for a derivative plot .,1
what starts off as a potentially incredibly twisting mystery becomes simply a monster chase film .,0
no amount of nostalgia for carvey's glory days can disguise the fact that the new film is a lame kiddie flick and that carvey's considerable talents are wasted in it .,0
"deadly dull , pointless meditation on losers in a gone-to-seed hotel .",0
"the series' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls' amusing personalities .",1
"not every animated film from disney will become a classic , but forgive me if i've come to expect more from this studio than some 79-minute after-school "" cartoon "" .",0
. . . a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs . it is an unstinting look at a collaboration between damaged people that may or may not qual,1
"in my own very humble opinion , in praise of love lacks even the most fragmented charms i have found in almost all of his previous works .",0
"written , flatly , by david kendall and directed , barely , by there's something about mary co-writer ed decter .",0
this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences .,1
"this is a film about the irksome , tiresome nature of complacency that remains utterly satisfied to remain the same throughout . even as the hero of the story rediscovers his passion in life , the mood remains oddly detached .",0
odd and weird .,0
"unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films .",1
"it throws quirky characters , odd situations , and off-kilter dialogue at us , all as if to say , "" look at this ! this is an interesting movie ! "" but the film itself is ultimately quite unengaging .",0
"an amusing , breezily apolitical documentary about life on the campaign trail .",1
"the most horrific movie experience i've had since "" can't stop the music . "" it may as well be called "" jar-jar binks : the movie . "" it's that painful .",0
evokes a little of the fear that parents have for the possible futures of their children--and the sometimes bad choices mothers and fathers make in the interests of doing them good .,1
"rob schneider's infantile cross-dressing routines fill the hot chick , the latest gimmick from this unimaginative comedian .",0
this may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar .,0
"a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .",1
"when a movie asks you to feel sorry for mick jagger's sex life , it already has one strike against it .",0
"as broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism .",1
"a "" home alone "" film that is staged like "" rosemary's baby , "" but is not as well-conceived as either of those films .",0
"it suggests the wide-ranging effects of media manipulation , from the kind of reporting that is done by the supposedly liberal media . . . to the intimate and ultimately tragic heartache of maverick individuals like hatfield and hicks .",1
one can't deny its seriousness and quality .,1
"this road movie gives you emotional whiplash , and you'll be glad you went along for the ride .",1
"shot perhaps 'artistically' with handheld cameras and apparently no movie lights by joaquin baca-asay , the low-budget production swings annoyingly between vertigo and opacity .",0
"[sports] admirable energy , full-bodied characterizations and narrative urgency .",1
""" nicholas nickleby "" is a perfect family film to take everyone to since there's no new "" a christmas carol "" out in the theaters this year . charlie hunnam has the twinkling eyes , repressed smile and determined face needed to carry out a dickensian hero .",1
"there's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",1
"a taut , intelligent psychological drama .",1
"cold , pretentious , thoroughly dislikable study in sociopathy .",0
feels like a cold old man going through the motions .,0
a film that takes you inside the rhythms of its subject : you experience it as you watch .,1
one-of-a-kind near-masterpiece .,1
it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,1
the bard as black comedy -- willie would have loved it .,1
"makes s&m seem very romantic , and maggie gyllenhaal is a delight .",1
"hilarious , acidic brit comedy .",1
"short-story quaint , touchingly mending a child's pain for his dead mother via communication with an old woman straight out of eudora welty .",1
what's missing is what we call the 'wow' factor .,0
"not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired .",0
a noble failure .,0
"unfolds in a low-key , organic way that encourages you to accept it as life and go with its flow .",1
the film's snags and stumblings are more than compensated for by its wryly subversive tone .,1
a story which fails to rise above its disgusting source material .,0
"it's not a film to be taken literally on any level , but its focus always appears questionable .",0
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .,0
ferrara's strongest and most touching movie of recent years .,1
"circuit queens won't learn a thing , they'll be too busy cursing the film's strategically placed white sheets .",0
my wife is an actress works as well as it does because [the leads] are such a companionable couple .,1
"there's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .",1
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1
"human resources was a good , straightforward tale , but time out is better . it's haunting . it's like a poem .",1
jolie's performance vanishes somewhere between her hair and her lips .,0
"the idea of 49-year-old roberto benigni playing the wooden boy pinocchio is scary enough . the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .",0
that rara avis : the intelligent romantic comedy with actual ideas on its mind .,1
"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it .",0
"there's nothing like love to give a movie a b-12 shot , and cq shimmers with it .",1
"white oleander may leave you rolling your eyes in the dark , but that doesn't mean you won't like looking at it .",1
what it lacks in originality it makes up for in intelligence and b-grade stylishness .,1
"a soggy , cliche-bound epic-horror yarn that ends up being even dumber than its title .",0
a masterpiece four years in the making .,1
"it's not only dull because we've seen [eddie] murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed .",0
"the story wraps back around on itself in the kind of elegant symmetry that's rare in film today , but be warned : it's a slow slog to get there .",1
"novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty , no-budget approach .",1
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0
"a good film with a solid pedigree both in front of and , more specifically , behind the camera .",1
"boy oh boy , it's a howler .",0
the problem is that the movie has no idea of it is serious or not .,0
"a trashy , exploitative , thoroughly unpleasant experience .",0
"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . it's the perfect kind of film to see when you don't want to use your brain . at all .",1
you'd have to be a most hard-hearted person not to be moved by this drama .,1
"flawed , but worth seeing for ambrose's performance .",1
"the boys' sparring , like the succession of blows dumped on guei , wears down the story's more cerebral , and likable , plot elements .",0
"it is the sheer , selfish , wound-licking , bar-scrapping doggedness of leon's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .",1
"may be far from the best of the series , but it's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",1
"[f]rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels .",1
the problem with movies about angels is they have a tendency to slip into hokum . a rumor of angels doesn't just slip -- it avalanches into forced fuzziness .,0
"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible . suffice to say its total promise is left slightly unfulfilled .",0
i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .,0
"this rather unfocused , all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens . . . or if it were subtler . . . or if it had a sense of humor .",0
this is one of polanski's best films .,1
an intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,1
"[raimi's] matured quite a bit with spider-man , even though it's one of the most plain white toast comic book films you'll ever see .",1
a film with a great premise but only a great premise .,0
a dashing and absorbing outing with one of france's most inventive directors .,1
"lookin' for sin , american-style ? try hell house , which documents the cautionary christian spook-a-rama of the same name .",1
"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1
"oh , it's extreme , all right . extremely dumb . extremely confusing . extremely boring .",0
"not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .",1
i just loved every minute of this film .,1
writer/director alexander payne ( election ) and his co-writer jim taylor brilliantly employ their quirky and fearless ability to look american angst in the eye and end up laughing .,1
"a predictable , manipulative stinker . the story passes time until it's time for an absurd finale of twisted metal , fireballs and revenge .",0
"its salient points are simultaneously buried , drowned and smothered in the excesses of writer-director roger avary .",0
"it's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this "" two weddings and a funeral "" fun .",1
"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",0
mckay deflates his piece of puffery with a sour cliche and heavy doses of mean-spiritedness,0
"there's something with potential here , but the movie decides , like lavinia , to go the conservative route .",0
not at all clear what it's trying to say and even if it were  i doubt it would be all that interesting .,0
"other than a mildly engaging central romance , hospital is sickly entertainment at best and mind-destroying cinematic pollution at worst .",0
the ga-zillionth airhead movie about a wife in distress who resorts to desperate measures .,0
i'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring .,0
"the movie is well done , but slow .",1
an ambitious 'what if ? ' that works .,1
rarely does such high-profile talent serve such literate material .,1
"an emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do .",1
. . . too dull to enjoy .,0
a beguiling evocation of the quality that keeps dickens evergreen : the exuberant openness with which he expresses our most basic emotions .,1
"engrossing and affecting , if ultimately not quite satisfying .",1
"what could have easily become a cold , calculated exercise in postmodern pastiche winds up a powerful and deeply moving example of melodramatic moviemaking .",1
. . . an inviting piece of film .,1
abandons all pretense of creating historical context and waltzes off into a hectic soap about the ups and downs of the heavy breathing between the two artists .,0
the hackneyed story about an affluent damsel in distress who decides to fight her bully of a husband is simply too overdone .,0
a predictable and stereotypical little b-movie .,0
a brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,1
"talk to her is not the perfect movie many have made it out to be , but it's still quite worth seeing .",1
"for close to two hours the audience is forced to endure three terminally depressed , mostly inarticulate , hyper dysfunctional families for the price of one .",0
"the film is all a little lit crit 101 , but it's extremely well played and often very funny .",1
""" the time machine "" is a movie that has no interest in itself . it doesn't believe in itself , it has no sense of humorit's just plain bored .",0
mike leigh populates his movie with a wonderful ensemble cast of characters that bring the routine day to day struggles of the working class to life,1
"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .",0
. . . they missed the boat .,0
"a playful iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences .",1
sad to say -- it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people .,1
"it's mildly sentimental , unabashedly consumerist . . . studiously inoffensive and completely disposable .",0
calculated swill .,0
[a] crushing disappointment .,0
"guillen rarely gets beneath the surface of things . she lists ingredients , but never mixes and stirs .",0
this is christmas future for a lot of baby boomers .,1
"sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema .",1
[d]oesn't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .,1
"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .",1
"bogdanovich puts history in perspective and , via kirsten dunst's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .",1
